CMDLINE python3 scripts/run.py
MEM 2.042969 1725625905.2835
MEM 21.296875 1725625905.3840
MEM 42.050781 1725625905.4852
MEM 59.160156 1725625905.5880
MEM 73.636719 1725625905.6894
MEM 81.578125 1725625905.7915
MEM 89.855469 1725625905.8921
MEM 104.269531 1725625905.9933
MEM 120.636719 1725625906.0940
MEM 133.492188 1725625906.1950
MEM 142.441406 1725625906.2967
MEM 262.781250 1725625906.3975
MEM 537.417969 1725625906.5004
MEM 489.289062 1725625906.6012
MEM 444.843750 1725625906.7028
MEM 500.644531 1725625906.8035
MEM 508.644531 1725625906.9045
MEM 517.644531 1725625907.0052
MEM 521.519531 1725625907.1095
MEM 521.074219 1725625907.2104
MEM 521.074219 1725625907.3135
MEM 521.074219 1725625907.4144
MEM 521.074219 1725625907.5185
MEM 521.074219 1725625907.6196
MEM 521.074219 1725625907.7226
MEM 521.074219 1725625907.8262
MEM 521.074219 1725625907.9291
MEM 521.074219 1725625908.0324
MEM 521.074219 1725625908.1340
MEM 521.074219 1725625908.2363
MEM 521.074219 1725625908.3378
MEM 521.074219 1725625908.4401
MEM 521.074219 1725625908.5417
MEM 529.449219 1725625908.6427
MEM 530.472656 1725625908.7443
MEM 530.472656 1725625908.8456
MEM 534.472656 1725625908.9462
MEM 534.472656 1725625909.0503
MEM 534.472656 1725625909.1517
MEM 534.472656 1725625909.2532
MEM 534.472656 1725625909.3565
MEM 534.472656 1725625909.4577
MEM 534.472656 1725625909.5588
MEM 539.347656 1725625909.6611
MEM 539.347656 1725625909.7623
MEM 539.347656 1725625909.8654
MEM 540.347656 1725625909.9664
MEM 540.347656 1725625910.0707
MEM 540.347656 1725625910.1721
MEM 540.347656 1725625910.2763
MEM 540.347656 1725625910.3777
MEM 540.347656 1725625910.4795
MEM 546.222656 1725625910.5801
MEM 546.222656 1725625910.6822
MEM 546.222656 1725625910.7834
MEM 546.222656 1725625910.8848
MEM 546.222656 1725625910.9855
MEM 546.847656 1725625911.0864
MEM 546.847656 1725625911.1874
MEM 546.847656 1725625911.2882
MEM 549.097656 1725625911.3894
MEM 549.097656 1725625911.4907
MEM 549.097656 1725625911.5944
MEM 551.597656 1725625911.6952
MEM 551.597656 1725625911.7971
MEM 551.722656 1725625911.8990
MEM 551.722656 1725625912.0014
MEM 554.222656 1725625912.1021
MEM 554.222656 1725625912.2045
MEM 554.222656 1725625912.3095
MEM 554.222656 1725625912.4107
MEM 554.222656 1725625912.5120
MEM 556.972656 1725625912.6133
MEM 556.972656 1725625912.7154
MEM 556.972656 1725625912.8163
MEM 558.472656 1725625912.9175
MEM 558.472656 1725625913.0185
MEM 558.472656 1725625913.1197
MEM 558.472656 1725625913.2210
MEM 558.472656 1725625913.3224
MEM 558.472656 1725625913.4252
MEM 562.472656 1725625913.5264
MEM 564.722656 1725625913.6294
MEM 564.722656 1725625913.7304
MEM 565.097656 1725625913.8313
MEM 565.097656 1725625913.9325
MEM 565.097656 1725625914.0345
MEM 565.097656 1725625914.1363
MEM 565.097656 1725625914.2378
MEM 565.222656 1725625914.3422
MEM 565.347656 1725625914.4436
MEM 565.347656 1725625914.5447
MEM 565.347656 1725625914.6470
MEM 565.347656 1725625914.7489
MEM 568.597656 1725625914.8493
MEM 568.597656 1725625914.9515
MEM 568.597656 1725625915.0532
MEM 568.597656 1725625915.1555
MEM 568.597656 1725625915.2568
MEM 570.847656 1725625915.3579
MEM 570.847656 1725625915.4604
MEM 570.847656 1725625915.5616
MEM 573.972656 1725625915.6677
MEM 573.972656 1725625915.7691
MEM 573.972656 1725625915.8715
MEM 573.972656 1725625915.9725
MEM 575.097656 1725625916.0741
MEM 576.222656 1725625916.1771
MEM 576.722656 1725625916.2786
MEM 576.722656 1725625916.3827
MEM 577.972656 1725625916.4831
MEM 577.972656 1725625916.5860
MEM 577.972656 1725625916.6877
MEM 577.972656 1725625916.7902
MEM 580.097656 1725625916.8933
MEM 580.097656 1725625916.9954
MEM 580.972656 1725625917.0962
MEM 580.972656 1725625917.1977
MEM 580.972656 1725625917.2988
MEM 583.347656 1725625917.4002
MEM 583.347656 1725625917.5052
MEM 583.347656 1725625917.6086
MEM 583.972656 1725625917.7094
MEM 583.972656 1725625917.8117
MEM 583.972656 1725625917.9128
MEM 586.472656 1725625918.0134
MEM 586.472656 1725625918.1144
MEM 587.097656 1725625918.2152
MEM 587.097656 1725625918.3170
MEM 588.097656 1725625918.4194
MEM 588.097656 1725625918.5216
MEM 588.097656 1725625918.6229
MEM 588.097656 1725625918.7237
MEM 591.847656 1725625918.8243
MEM 591.847656 1725625918.9286
MEM 591.847656 1725625919.0299
MEM 592.722656 1725625919.1306
MEM 594.472656 1725625919.2318
MEM 594.472656 1725625919.3327
MEM 594.472656 1725625919.4341
MEM 594.472656 1725625919.5356
MEM 595.722656 1725625919.6380
MEM 595.722656 1725625919.7390
MEM 595.722656 1725625919.8414
MEM 597.347656 1725625919.9427
MEM 597.347656 1725625920.0461
MEM 597.347656 1725625920.1476
MEM 597.347656 1725625920.2504
MEM 597.347656 1725625920.3517
MEM 597.347656 1725625920.4537
MEM 602.972656 1725625920.5547
MEM 602.972656 1725625920.6560
MEM 602.972656 1725625920.7575
MEM 602.972656 1725625920.8601
MEM 603.597656 1725625920.9621
MEM 603.597656 1725625921.0641
MEM 603.597656 1725625921.1647
MEM 603.597656 1725625921.2660
MEM 607.222656 1725625921.3665
MEM 607.222656 1725625921.4676
MEM 607.222656 1725625921.5691
MEM 607.222656 1725625921.6705
MEM 608.097656 1725625921.7714
MEM 608.097656 1725625921.8724
MEM 608.097656 1725625921.9734
MEM 609.847656 1725625922.0744
MEM 609.847656 1725625922.1756
MEM 610.722656 1725625922.2774
MEM 610.847656 1725625922.3785
MEM 610.847656 1725625922.4794
MEM 612.847656 1725625922.5803
MEM 612.847656 1725625922.6813
MEM 612.847656 1725625922.7824
MEM 614.722656 1725625922.8834
MEM 614.722656 1725625922.9845
MEM 614.722656 1725625923.0855
MEM 615.597656 1725625923.1864
MEM 615.597656 1725625923.2873
MEM 615.597656 1725625923.3883
MEM 617.722656 1725625923.4894
MEM 617.722656 1725625923.5904
MEM 619.972656 1725625923.6914
MEM 619.972656 1725625923.7924
MEM 619.972656 1725625923.8934
MEM 621.222656 1725625923.9944
MEM 621.222656 1725625924.0954
MEM 621.222656 1725625924.1963
MEM 621.222656 1725625924.2974
MEM 621.222656 1725625924.3984
MEM 621.222656 1725625924.4993
MEM 621.222656 1725625924.6004
MEM 622.347656 1725625924.7015
MEM 623.722656 1725625924.8025
MEM 623.722656 1725625924.9034
MEM 623.722656 1725625925.0044
MEM 626.472656 1725625925.1054
MEM 626.472656 1725625925.2065
MEM 626.472656 1725625925.3074
MEM 626.472656 1725625925.4084
MEM 627.597656 1725625925.5094
MEM 627.597656 1725625925.6105
MEM 628.722656 1725625925.7113
MEM 628.722656 1725625925.8123
MEM 628.722656 1725625925.9135
MEM 630.847656 1725625926.0145
MEM 630.847656 1725625926.1153
MEM 630.847656 1725625926.2165
MEM 633.097656 1725625926.3174
MEM 633.097656 1725625926.4184
MEM 633.097656 1725625926.5194
MEM 633.097656 1725625926.6204
MEM 633.097656 1725625926.7214
MEM 633.097656 1725625926.8224
MEM 633.097656 1725625926.9234
MEM 635.847656 1725625927.0244
MEM 635.847656 1725625927.1254
MEM 635.847656 1725625927.2264
MEM 637.222656 1725625927.3274
MEM 637.222656 1725625927.4284
MEM 637.222656 1725625927.5294
MEM 638.097656 1725625927.6304
MEM 638.097656 1725625927.7317
MEM 638.097656 1725625927.8326
MEM 638.097656 1725625927.9371
MEM 638.097656 1725625928.0380
MEM 639.972656 1725625928.1386
MEM 639.972656 1725625928.2397
MEM 639.972656 1725625928.3436
MEM 639.972656 1725625928.4450
MEM 639.972656 1725625928.5463
MEM 642.097656 1725625928.6479
MEM 642.097656 1725625928.7488
MEM 642.097656 1725625928.8497
MEM 644.347656 1725625928.9534
MEM 644.347656 1725625929.0560
MEM 644.347656 1725625929.1577
MEM 644.347656 1725625929.2589
